iter	Passed	Remaining
945	95348	106234
946	95434	106116
947	95531	106011
948	95643	105923
949	95781	105863
950	95905	105788
951	96025	105708
952	96126	105608
953	96211	105490
954	96288	105362
955	96370	105240
956	96445	105111
957	96534	104998
958	96629	104891
959	96730	104791
960	96832	104692
961	96953	104612
962	97078	104537
963	97161	104418
964	97243	104297
965	97334	104186
966	97415	104064
967	97500	103947
968	97611	103856
969	97725	103770
970	97835	103679
971	97938	103580
972	98042	103483
973	98125	103364
974	98216	103252
975	98302	103136
976	98386	103018
977	98469	102899
978	98565	102794
979	98704	102733
980	98824	102652
981	98928	102554
982	99056	102482
983	99195	102420
984	99366	102393
985	99466	102290
986	99557	102180
987	99687	102108
988	99807	102027
989	99911	101930
990	100026	101843
991	100139	101754
992	100237	101651
993	100318	101529
994	100397	101406
995	100477	101284
996	100561	101166
997	100663	101067
998	100777	100979
999	100889	100889
1000	101010	100808
1001	101116	100713
1002	101207	100601
1003	101289	100482
1004	101387	100378
1005	101472	100262
1006	101561	100149
1007	101668	100054
1008	101779	99963
1009	101882	99864
1010	101990	99771
1011	102082	99661
1012	102163	99541
1013	102247	99424
1014	102330	99305
1015	102422	99196
1016	102499	99072
1017	102581	98953
1018	102689	98860
1019	102824	98792
1020	102923	98689
1021	103032	98596
1022	103134	98496
1023	103296	98454
1024	103397	98354
1025	103490	98245
1026	103583	98137
1027	103742	98091
1028	103859	98005
1029	103974	97917
1030	104135	97872
1031	104395	97921
1032	104568	97887
1033	104693	97808
1034	104812	97723
1035	104932	97639
1036	105044	97548
1037	105159	97460
1038	105262	97360
1039	105356	97251
1040	105450	97143
1041	105527	97020
1042	105606	96898
1043	105697	96787
1044	105798	96687
1045	105899	96585
1046	106005	96488
1047	106101	96382
1048	106182	96262
1049	106259	96139
1050	106340	96020
1051	106419	95898
1052	106524	95800
1053	106605	95681
1054	106694	95570
1055	106793	95467
1056	106894	95365
1057	106998	95267
1058	107099	95165
1059	107208	95071
1060	107299	94961
1061	107381	94843
1062	107464	94726
1063	107540	94603
1064	107619	94482
1065	107719	94380
1066	107815	94275
1067	107936	94191
1068	108037	94090
1069	108120	93973
1070	108203	93857
1071	108283	93738
1072	108377	93630
1073	108469	93521
1074	108552	93405
1075	108637	93290
1076	108756	93205
1077	108882	93125
1078	108997	93036
1079	109114	92949
1080	109243	92872
1081	109342	92769
1082	109418	92646
1083	109499	92529
1084	109605	92431
1085	109690	92317
1086	109793	92218
1087	109896	92118
1088	109993	92014
1089	110131	91944
1090	110276	91880
1091	110367	91770
1092	110453	91657
1093	110536	91540
1094	110618	91424
1095	110715	91319
1096	110820	91222
1097	110929	91128
1098	111002	91003
1099	111109	90907
1100	111211	90807
1101	111299	90695
1102	111382	90580
1103	111459	90460
1104	111537	90340
1105	111620	90224
1106	111700	90106
1107	111802	90006
1108	111912	89913
1109	112022	89819
1110	112159	89748
1111	112246	89636
1112	112326	89518
1113	112417	89409
1114	112513	89304
1115	112594	89188
1116	112682	89076
1117	112799	88988
1118	112902	88889
1119	113003	88788
1120	113094	88680
1121	113196	88580
1122	113300	88480
1123	113383	88366
1124	113458	88245
1125	113540	88130
1126	113618	88011
1127	113708	87902
1128	113811	87802
1129	113922	87710
1130	114015	87603
1131	114126	87510
1132	114219	87403
1133	114330	87310
1134	114423	87203
1135	114514	87095
1136	114612	86992
1137	114694	86877
1138	114798	86779
1139	114889	86670
1140	114969	86554
1141	115057	86444
1142	115154	86340
1143	115248	86234
1144	115338	86126
1145	115427	86016
1146	115518	85908
1147	115600	85793
1148	115679	85677
1149	115752	85556
1150	115829	85438
1151	115902	85317
1152	115979	85199
1153	116061	85084
1154	116135	84964
1155	116214	84848
1156	116299	84736
1157	116372	84616
1158	116447	84497
1159	116523	84379
1160	116601	84262
1161	116681	84147
1162	116755	84027
1163	116831	83909
1164	116913	83796
1165	116988	83677
1166	117066	83561
1167	117152	83451
1168	117228	83333
1169	117304	83215
1170	117379	83097
1171	117459	82983
1172	117539	82868
1173	117621	82756
1174	117697	82638
1175	117777	82524
1176	117864	82415
1177	117962	82313
1178	118037	82195
1179	118116	82080
1180	118186	81959
1181	118263	81843
1182	118340	81728
1183	118416	81611
1184	118490	81493
1185	118572	81381
1186	118652	81267
1187	118732	81153
1188	118811	81039
1189	118892	80926
1190	118970	80811
1191	119049	80697
1192	119136	80589
1193	119217	80476
1194	119295	80362
1195	119375	80249
1196	119457	80137
1197	119533	80021
1198	119614	79909
1199	119694	79796
1200	119775	79684
1201	119855	79571
1202	119940	79462
1203	120025	79352
1204	120106	79240
1205	120183	79125
1206	120255	79007
1207	120327	78890
1208	120409	78779
1209	120490	78667
1210	120564	78551
1211	120654	78445
1212	120733	78332
1213	120816	78222
1214	120910	78119
1215	121003	78015
1216	121095	77910
1217	121178	77800
1218	121250	77684
1219	121327	77570
1220	121403	77455
1221	121480	77342
1222	121562	77231
1223	121644	77120
1224	121722	77007
1225	121803	76897
1226	121892	76791
1227	121972	76679
1228	122052	76568
1229	122130	76455
1230	122203	76340
1231	122278	76225
1232	122356	76113
1233	122441	76005
1234	122523	75895
1235	122602	75783
1236	122676	75668
1237	122755	75557
1238	122834	75445
1239	122913	75334
1240	122994	75224
1241	123072	75111
1242	123162	75007
1243	123243	74896
1244	123324	74787
1245	123400	74674
1246	123475	74560
1247	123551	74447
1248	123631	74337
1249	123706	74224
1250	123786	74113
1251	123864	74002
1252	123945	73892
1253	124034	73787
1254	124114	73677
1255	124201	73571
1256	124300	73472
1257	124385	73365
1258	124481	73265
1259	124571	73160
1260	124662	73057
1261	124747	72950
1262	124824	72839
1263	124907	72731
1264	124990	72623
1265	125077	72517
1266	125155	72406
1267	125239	72299
1268	125332	72197
1269	125411	72086
1270	125494	71979
1271	125569	71867
1272	125647	71756
1273	125750	71659
1274	125837	71554
1275	125915	71444
1276	125992	71333
1277	126069	71222
1278	126149	71113
1279	126230	71004
1280	126312	70896
1281	126391	70787
1282	126471	70677
1283	126547	70567
1284	126620	70454
1285	126700	70345
1286	126779	70236
1287	126855	70125
1288	126931	70014
1289	127001	69900
1290	127077	69789
1291	127152	69678
1292	127227	69566
1293	127304	69456
1294	127388	69350
1295	127469	69242
1296	127582	69152
1297	127664	69045
1298	127736	68932
1299	127822	68827
1300	127901	68718
1301	127978	68608
1302	128050	68496
1303	128128	68387
1304	128205	68277
1305	128283	68168
1306	128360	68059
1307	128441	67952
1308	128524	67846
1309	128603	67737
1310	128685	67631
1311	128766	67523
1312	128853	67419
1313	128927	67309
1314	129011	67203
1315	129097	67099
1316	129177	66992
1317	129255	66883
1318	129346	66781
1319	129428	66675
1320	129500	66563
1321	129571	66452
1322	129649	66343
1323	129725	66234
1324	129809	66129
1325	129899	66027
1326	129977	65919
1327	130061	65814
1328	130137	65705
1329	130218	65598
1330	130310	65497
1331	130393	65392
1332	130473	65285
1333	130553	65178
1334	130627	65069
1335	130705	64961
1336	130781	64852
1337	130853	64741
1338	130924	64631
1339	131015	64530
1340	131134	64442
1341	131233	64345
1342	131339	64251
1343	131445	64157
1344	131529	64053
1345	131599	63942
1346	131672	63832
1347	131746	63722
1348	131822	63615
1349	131901	63508
1350	131982	63402
