iter	Passed	Remaining
712	52704	95133
713	52933	95340
714	53436	96035
715	53980	96803
716	54184	96958
717	54389	97113
718	54700	97456
719	54905	97610
720	55171	97869
721	55530	98293
722	56758	100249
723	57024	100501
724	57408	100960
725	57683	101223
726	57957	101486
727	58208	101705
728	58436	101882
729	58623	101989
730	58828	102125
731	59023	102242
732	59210	102345
733	59387	102431
734	59570	102526
735	59750	102614
736	59932	102706
737	60107	102785
738	60249	102807
739	60405	102853
740	60550	102879
741	60696	102905
742	60863	102968
743	61036	103040
744	61183	103068
745	61323	103082
746	61488	103139
747	61644	103179
748	61792	103206
749	61943	103239
750	62081	103248
751	62218	103255
752	62352	103258
753	62496	103276
754	62633	103283
755	62766	103282
756	62897	103277
757	63052	103313
758	63192	103323
759	63340	103345
760	63466	103330
761	63569	103278
762	63701	103274
763	63904	103385
764	64019	103351
765	64143	103333
766	64335	103422
767	64548	103546
768	64699	103569
769	64892	103658
770	65013	103633
771	65141	103618
772	65259	103587
773	65371	103547
774	65493	103521
775	65621	103506
776	65747	103486
777	65857	103441
778	65979	103416
779	66097	103383
780	66210	103342
781	66312	103284
782	66414	103225
783	66523	103178
784	66629	103127
785	66717	103046
786	66807	102970
787	66901	102899
788	66990	102820
789	67083	102747
790	67176	102676
791	67268	102601
792	67356	102521
793	67408	102386
794	67490	102297
795	67585	102228
796	67676	102150
797	67770	102080
798	67863	102007
799	67958	101938
800	68041	101849
801	68129	101769
802	68217	101689
803	68313	101621
804	68402	101542
805	68493	101465
806	68593	101403
807	68672	101309
808	68757	101223
809	68841	101137
810	68926	101052
811	69011	100968
812	69099	100886
813	69178	100792
814	69267	100713
815	69357	100635
816	69437	100544
817	69528	100467
818	69623	100397
819	69702	100304
820	69782	100211
821	69863	100120
822	69958	100050
823	70041	99961
824	70131	99884
825	70215	99797
826	70298	99709
827	70381	99621
828	70455	99520
829	70547	99446
830	70637	99368
831	70717	99276
832	70799	99187
833	70883	99100
834	70960	99004
835	71031	98899
836	71110	98807
837	71191	98716
838	71271	98625
839	71350	98531
840	71429	98438
841	71504	98340
842	71603	98274
843	71683	98182
844	71757	98082
845	71826	97976
846	71900	97875
847	71968	97769
848	72035	97658
849	72105	97554
850	72177	97453
851	72243	97342
852	72323	97251
853	72387	97138
854	72456	97032
855	72533	96936
856	72611	96843
857	72680	96738
858	72751	96635
859	72824	96534
860	72894	96430
861	72966	96328
862	73036	96225
863	73105	96119
864	73178	96020
865	73247	95915
866	73315	95809
867	73384	95703
868	73456	95603
869	73528	95502
870	73610	95414
871	73679	95310
872	73762	95224
873	73837	95127
874	73911	95029
875	73976	94919
876	74046	94816
877	74118	94716
878	74187	94612
879	74257	94509
880	74330	94410
881	74393	94299
882	74457	94189
883	74529	94089
884	74613	94005
885	74677	93894
886	74742	93786
887	74817	93690
888	74884	93585
889	74951	93478
890	75016	93370
891	75092	93276
892	75160	93172
893	75227	93067
894	75290	92955
895	75356	92850
896	75426	92748
897	75495	92646
898	75576	92557
899	75658	92471
900	75726	92368
901	75795	92264
902	75864	92163
903	75940	92069
904	76011	91970
905	76084	91871
906	76155	91772
907	76222	91668
908	76292	91567
909	76362	91467
910	76427	91360
911	76494	91256
912	76563	91155
913	76643	91066
914	76710	90962
915	76778	90860
916	76849	90760
917	76922	90665
918	76997	90570
919	77077	90481
920	77153	90389
921	77224	90290
922	77288	90183
923	77359	90085
924	77424	89980
925	77485	89870
926	77556	89771
927	77637	89684
928	77710	89588
929	77779	89488
930	77850	89390
931	77916	89286
932	77983	89183
933	78054	89086
934	78123	88985
935	78193	88886
936	78263	88787
937	78332	88687
938	78401	88587
939	78473	88490
940	78547	88397
941	78627	88309
942	78700	88215
943	78768	88114
944	78836	88013
945	78904	87912
946	78971	87811
947	79040	87711
948	79109	87612
949	79175	87510
950	79240	87406
951	79309	87307
952	79387	87217
953	79455	87118
954	79524	87018
955	79603	86930
956	79671	86831
957	79746	86739
958	79817	86642
959	79882	86538
960	79950	86439
961	80023	86345
962	80092	86247
963	80165	86152
964	80231	86051
965	80297	85949
966	80365	85850
967	80434	85752
968	80506	85657
969	80602	85588
970	80681	85501
971	80751	85403
972	80814	85299
973	80880	85198
974	80951	85103
975	81022	85007
976	81091	84909
977	81158	84810
978	81223	84708
979	81287	84605
980	81356	84508
981	81426	84411
982	81495	84314
983	81565	84217
984	81648	84134
985	81714	84034
986	81786	83941
987	81855	83843
988	81924	83746
989	81991	83647
990	82062	83553
991	82131	83455
992	82197	83356
993	82266	83259
994	82335	83163
995	82403	83065
996	82471	82967
997	82541	82872
998	82615	82780
999	82696	82696
1000	82762	82597
1001	82833	82502
1002	82901	82405
1003	82970	82309
1004	83043	82217
1005	83112	82121
1006	83188	82031
1007	83262	81941
1008	83336	81849
1009	83408	81756
1010	83479	81662
1011	83555	81573
1012	83636	81489
1013	83717	81406
1014	83791	81314
1015	83857	81216
1016	83922	81116
1017	83993	81023
1018	84094	80958
1019	84179	80878
1020	84246	80780
1021	84321	80691
1022	84389	80594
1023	84462	80503
1024	84531	80408
1025	84612	80324
1026	84697	80243
1027	84773	80155
1028	84841	80059
1029	84910	79964
1030	84979	79869
